[Info  - 1:50:19 AM] Angular language server process ID: 28189
[Info  - 1:50:19 AM] Using typescript/lib/tsserverlibrary v4.7.4 from /home/thebuffylow/.vscode/extensions/angular.ng-template-14.1.0/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 1:50:19 AM] Using @angular/language-service v14.1.0 from /home/thebuffylow/.vscode/extensions/angular.ng-template-14.1.0/node_modules/@angular/language-service/index.js
[Info  - 1:50:19 AM] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 1:50:25 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:28 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:28 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:37 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:43 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:53 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:53 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:53 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:54 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:54 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:55 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:55 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
[Error - 1:50:56 AM] No config file for /home/thebuffylow/js-assignment-6-orbit-report-buffylow/js-assignment-6-orbit-report-buffylow/src/app/app.component.html
